Year,fo,fir,fdi,dp,dm,port
1960,,,,,3.84E+10,
1961,2.30,,,3.72,4.00E+10,
1962,6.10,,,2.93,4.41E+10,
1963,4.40,,,5.99,4.87E+10,
1964,5.80,,,7.45,5.33E+10,
1965,6.40,,,-2.64,5.91E+10,
1966,6.50,5.07,,-0.06,6.57E+10,
1967,2.50,4.70,,7.83,7.18E+10,
1968,4.80,5.46,,3.39,7.87E+10,
1969,3.10,6.79,,6.54,8.93E+10,
1970,-0.35,6.49,4.55E+07,5.16,1.05E+11,
1971,3.29,4.67,4.77E+07,1.64,1.22E+11,
1972,5.26,4.76,1.78E+07,-0.55,1.42E+11,
1973,5.65,7.02,3.79E+07,3.30,1.69E+11,
1974,-0.54,7.72,5.70E+07,1.19,1.89E+11,
1975,-0.21,6.30,-1.03E+07,9.15,2.15E+11,0
1976,5.39,5.52,-7.71E+06,1.66,2.67E+11,0
1977,4.62,5.70,-3.61E+07,7.25,3.17E+11,0
1978,5.54,7.74,1.81E+07,5.71,3.85E+11,0
1979,3.17,9.73,4.86E+07,-5.24,4.54E+11,0
1980,-0.26,10.85,7.92E+07,6.74,5.31E+11,0
1981,2.54,13.16,9.19E+07,6.01,6.21E+11,0
1982,-1.80,11.07,7.21E+07,3.48,7.28E+11,0
1983,4.58,8.80,5.64E+06,7.29,8.51E+11,0
1984,7.24,9.94,1.92E+07,3.82,1.00E+12,0
1985,4.17,7.81,1.06E+08,5.25,1.15E+12,0
1986,3.46,6.07,1.18E+08,4.78,1.36E+12,0
1987,3.46,6.33,2.12E+08,3.97,1.59E+12,0
1988,4.18,7.13,9.13E+07,9.63,1.91E+12,0
1989,3.67,7.92,2.52E+08,5.95,2.23E+12,0
1990,1.89,7.35,2.37E+08,5.53,2.56E+12,0
1991,-0.11,5.52,7.35E+07,1.06,3.04E+12,-4636519.763
1992,3.52,3.71,2.77E+08,5.48,3.51E+12,-283578511.9
1993,2.75,3.29,5.50E+08,4.75,4.09E+12,-1369117146
1994,4.03,5.02,9.73E+08,6.66,4.92E+12,-5491125009
1995,2.68,5.60,2.14E+09,7.57,5.62E+12,-1590475624
1996,3.77,5.22,2.43E+09,7.55,6.54E+12,-3958322334
1997,4.38,5.32,3.58E+09,4.05,7.68E+12,-2555657284
1998,4.48,4.80,2.63E+09,6.18,9.24E+12,601151966.9
1999,4.75,4.81,2.17E+09,8.85,1.10E+13,-2317070163
2000,4.13,5.78,3.58E+09,3.84,1.27E+13,-2345216989
2001,1.00,3.84,5.13E+09,4.82,1.45E+13,-2852793642
2002,1.74,1.67,5.21E+09,3.80,1.68E+13,-1022422260
2003,2.86,,3.68E+09,7.86,1.90E+13,-8216187274
2004,3.80,,5.43E+09,7.92,2.14E+13,-9037076534
2005,3.51,,7.27E+09,7.92,2.52E+13,-12144114068
2006,2.85,,2.00E+10,8.06,3.01E+13,-9545718947
2007,1.88,,2.52E+10,7.66,3.71E+13,-33016300605
2008,-0.14,1.63,4.34E+10,3.09,4.44E+13,15074790314
2009,-2.54,0.45,3.56E+10,7.86,5.25E+13,-17756860244
2010,2.56,0.30,2.74E+10,8.50,6.23E+13,-36875471079
2011,1.55,0.17,3.65E+10,5.24,7.22E+13,-2664809742
2012,2.25,0.17,2.40E+10,5.46,8.03E+13,-29285240146
2013,1.84,0.13,2.82E+10,6.39,9.21E+13,-6857994918
2014,2.53,0.11,3.46E+10,7.41,1.03E+14,-37740318603
2015,3.08,0.30,4.40E+10,8.00,1.13E+14,-9486642829
2016,1.71,0.60,4.45E+10,8.26,1.20E+14,4725209437
2017,2.33,1.17,4.00E+10,6.80,1.33E+14,-30637784958
2018,3.00,2.25,4.21E+10,6.53,1.45E+14,9597939591
2019,2.16,1.99,5.06E+10,4.04,1.62E+14,-24584119878
2020,-3.49,0.36,,-7.96,1.81E+14,-15111706747